Raster,Red,Green,Blue,NIR,FC,c_depth,CH,vol_cd,VOL_CH,BNDVI,GBNDVI,GNDVI,NDVI,NDVIf,EVI,EVI2,SAVI,OSAVI,TSAVIm,TSAVIg,MSR,SR,LAI
RIP_180713_1040_0054,0.062526392,0.072771875,0.01595625,0.454953125,0.328125,0.799812927,1.260498843,0.94477902,1.488964259,0.932232184,0.67360241,0.724205315,0.758342545,0.450393647,0.573575842,0.611250324,0.578527715,0.579245164,3.579686171,2.046177358,2.181626098,7.27617752,3.29
RIP_180713_1040_0055,0.064002777,0.072959723,0.015346913,0.445673438,0.244791667,1.011110687,1.333136725,0.891041293,1.174826739,0.933421971,0.669251193,0.718646132,0.748849268,0.40987456,0.556504834,0.596628852,0.567019389,0.569933129,3.784070499,2.080458902,2.113207697,6.963345306,3.22
RIP_180713_1040_0056,0.057783331,0.071273608,0.014510938,0.473532813,0.355902778,0.83083313,1.262195992,1.064504948,1.617188615,0.940534276,0.693252696,0.738352539,0.782489834,0.471719472,0.607323382,0.64468766,0.604687734,0.601388359,3.323364136,2.014872868,2.372760599,8.194972527,4.42
RIP_180713_1040_0057,0.057675696,0.071611807,0.014375,0.46090061,0.347222222,0.726502304,1.358668419,0.90812788,1.698335524,0.939508783,0.685541102,0.731041738,0.777561392,0.465819928,0.593277146,0.630305911,0.593806638,0.594221919,3.630769948,2.093013322,2.331549297,7.991244907,4.17
RIP_180713_1040_0058,0.060464148,0.07403316,0.016403472,0.467003467,0.309027778,0.560751915,1.146714959,0.623836505,1.275720392,0.932133899,0.675528787,0.726328471,0.77073797,0.445471109,0.595483208,0.630443095,0.593506763,0.591357775,3.366375011,2.008685646,2.276437266,7.723642566,4.14
RIP_180713_1040_0059,0.054484634,0.067088889,0.014756944,0.4386375,0.309027778,0.643610764,1.031162475,0.716016974,1.147168254,0.934904609,0.685500658,0.734683062,0.779021745,0.448031025,0.580337546,0.611942005,0.580219973,0.588179217,4.632327349,2.328701903,2.343634099,8.050664281,3.78
RIP_180713_1040_0060,0.053702258,0.065995139,0.014510156,0.443939575,0.267361111,0.669641228,1.229592438,0.644529682,1.183482721,0.93669903,0.692988532,0.741162401,0.784173055,0.429449046,0.588654695,0.620280893,0.586739605,0.593388828,4.432568305,2.297652789,2.387119067,8.266683548,4.27
RIP_180713_1040_0061,0.059194888,0.069448785,0.015336111,0.453975,0.256944444,0.793111954,1.089597757,0.733628557,1.007877925,0.934644158,0.685259065,0.734636494,0.769297109,0.420583285,0.582572807,0.618373343,0.584472727,0.586449451,3.760151499,2.112087027,2.265074967,7.669158824,4
RIP_180713_1040_0062,0.0537875,0.065707813,0.014789063,0.452773438,0.230902778,0.429113617,0.928494422,0.356700694,0.771810989,0.936739741,0.698101045,0.746537363,0.787636606,0.412596647,0.599228972,0.630563183,0.594577918,0.598573836,4.073020901,2.222786435,2.417135857,8.417818964,3.96
RIP_180713_1040_0063,0.059286371,0.069423352,0.016809462,0.439623438,0.232638889,0.425459518,0.841888514,0.356322347,0.70508163,0.926344214,0.672028948,0.727241765,0.762336319,0.407557407,0.569615622,0.601072267,0.571128239,0.577221741,4.269922587,2.21802813,2.211465653,7.41525297,3.61
RIP_180713_1040_0064,0.05672908,0.067779254,0.015695139,0.444086133,0.215277778,0.695243912,1.169117208,0.538814032,0.906065836,0.931727804,0.683545722,0.73516766,0.773453047,0.40192392,0.581007548,0.612815223,0.580562297,0.586180592,4.239334893,2.233715775,2.298104855,7.828192018,3.48
RIP_180713_1040_0065,0.0603,0.069573608,0.015796875,0.467001563,0.251736111,0.605627289,0.943561254,0.54884973,0.855102386,0.934561201,0.69089499,0.74067526,0.77128837,0.418640301,0.594479942,0.630849602,0.593839595,0.591736706,3.372670401,2.011372075,2.280802371,7.744636194,3.71
RIP_180713_1040_0066,0.058054169,0.067320313,0.014015625,0.4496875,0.407986111,0.618415298,1.122486291,0.90829747,1.64865174,0.939549146,0.693663474,0.739577194,0.771323993,0.492293643,0.578348415,0.616156414,0.582937091,0.586504257,3.9553149,2.163920216,2.281085367,7.745998437,3.72
RIP_180713_1040_0067,0.05529375,0.062226392,0.013490277,0.421809375,0.338541667,0.681132736,1.057069511,0.830130522,1.288303467,0.938018434,0.695627316,0.742885151,0.768210489,0.458508759,0.554521876,0.589437497,0.562656513,0.575284613,5.654615729,2.48480915,2.256567562,7.628518142,3.35
RIP_180713_1040_0068,0.051576563,0.063041669,0.014785938,0.447315283,0.376736111,0.574390106,1.069350171,0.779016582,1.45030617,0.936005633,0.703594554,0.752950681,0.793235496,0.485819623,0.601105017,0.629716384,0.59426662,0.600612564,4.4174191,2.31265275,2.467056785,8.672840172,3.74
RIP_180713_1040_0069,0.04979566,0.058562964,0.01338342,0.409719446,0.326388889,0.496880722,0.937775588,0.583834848,1.101886316,0.936736804,0.701260171,0.749881855,0.783268669,0.457733524,0.559542022,0.58840726,0.562665116,0.580976609,7.92427663,2.810642343,2.379386006,8.228015102,3.8
RIP_180713_1040_0070,0.056073004,0.062599304,0.013502084,0.42535,0.28125,0.596811905,1.028596232,0.604272054,1.041453685,0.938466358,0.696475512,0.74341882,0.767053075,0.431358677,0.555965093,0.591818431,0.564400357,0.575715235,5.303028247,2.425288099,2.247563251,7.58564672,3.93
RIP_180713_1040_0071,0.064115973,0.072229602,0.013752344,0.464557813,0.371527778,0.69820446,1.169975494,0.933848465,1.564842223,0.942496125,0.687644918,0.730881909,0.757445992,0.469953893,0.573333859,0.618562926,0.583919575,0.581468103,3.282896407,1.963343096,2.175015926,7.245586263,3.09
RIP_180713_1040_0072,0.060453906,0.0710875,0.013507639,0.475733594,0.451388889,1.071129456,1.581411856,1.740585365,2.569794267,0.944781272,0.698051753,0.739997228,0.774504604,0.514186106,0.59764521,0.640538318,0.601164877,0.596505521,3.1855365,1.961290731,2.306588712,7.869360696,3.1
RIP_180713_1040_0073,0.065395831,0.074476392,0.014549382,0.48808125,0.432291667,0.936743622,1.492631397,1.457807261,2.322907612,0.942107062,0.691475688,0.735222185,0.763690915,0.500449719,0.596563059,0.642366855,0.601843305,0.592430268,2.832714226,1.832960271,2.221735799,7.46349179,3.24
RIP_180713_1040_0074,0.059209952,0.069788193,0.013830556,0.485686548,0.513888889,0.920125198,1.477327353,1.702231617,2.733055603,0.944624296,0.706242858,0.748725954,0.782674501,0.548041063,0.613735322,0.654993093,0.612228,0.605020164,3.047589438,1.930162614,2.374328691,8.202785735,3.6
RIP_180713_1040_0075,0.06145625,0.070759375,0.013495313,0.488740283,0.473958333,0.884587708,1.37943203,1.509327776,2.353655901,0.946259036,0.70591474,0.747061955,0.776602555,0.525889752,0.608229018,0.652846259,0.610291531,0.601641959,2.932980563,1.884191825,2.323671393,7.952653851,3.59
RIP_180713_1040_0076,0.05903125,0.071840277,0.014084723,0.49162085,0.380208333,0.69826088,1.156174157,0.955744579,1.582513377,0.944296746,0.702447866,0.745003608,0.785595115,0.484627309,0.621475016,0.662142134,0.617601583,0.608722045,2.958377934,1.905057643,2.399365635,8.328145679,2.9
RIP_180713_1040_0077,0.058443054,0.07092991,0.014164497,0.489223438,0.375,0.653286171,1.142891234,0.881936331,1.542903166,0.943723337,0.703667898,0.746748241,0.786574293,0.48246536,0.621205074,0.660914209,0.616771253,0.608733617,3.012825844,1.924395523,2.407860828,8.370942351,3.94
